Image_Id,BLB,BS,HRL,LB,LS,NBLS,RH,SB,Label
image_01241.jpg,0,0,0,0,0,0,1,0,6
image_02775.jpg,0,0,0,1,0,0,0,0,3
image_02470.jpg,0,0,0,1,0,0,0,0,3
image_02435.jpg,0,0,0,1,0,0,0,0,3
image_02271.jpg,0,0,0,0,1,0,0,0,4
image_04624.jpg,0,1,0,0,0,0,0,0,1
image_00499.jpg,0,0,0,0,0,0,0,1,7
image_04519.jpg,0,1,0,0,0,0,0,0,1
image_03300.jpg,0,0,0,1,0,0,0,0,3
image_02715.jpg,0,0,0,1,0,0,0,0,3
image_01178.jpg,0,0,0,0,0,0,1,0,6
image_03971.jpg,0,1,0,0,0,0,0,0,1
image_05133.jpg,1,0,0,0,0,0,0,0,0
image_04603.jpg,0,1,0,0,0,0,0,0,1
image_00948.jpg,0,0,0,0,0,0,1,0,6
image_02732.jpg,0,0,0,1,0,0,0,0,3
image_04745.jpg,1,0,0,0,0,0,0,0,0
image_03311.jpg,0,0,0,1,0,0,0,0,3
image_04754.jpg,1,0,0,0,0,0,0,0,0
image_05141.jpg,1,0,0,0,0,0,0,0,0
image_04785.jpg,1,0,0,0,0,0,0,0,0
image_03633.jpg,0,0,1,0,0,0,0,0,2
image_04763.jpg,1,0,0,0,0,0,0,0,0
image_02642.jpg,0,0,0,1,0,0,0,0,3
image_00964.jpg,0,0,0,0,0,0,1,0,6
image_00133.jpg,0,0,0,0,0,0,0,1,7
image_00348.jpg,0,0,0,0,0,0,0,1,7
image_04850.jpg,1,0,0,0,0,0,0,0,0
image_01504.jpg,0,0,0,0,0,1,0,0,5
image_03168.jpg,0,0,0,1,0,0,0,0,3
image_04808.jpg,1,0,0,0,0,0,0,0,0
image_03298.jpg,0,0,0,1,0,0,0,0,3
image_04266.jpg,0,1,0,0,0,0,0,0,1
image_00789.jpg,0,0,0,0,0,0,0,1,7
image_03568.jpg,0,0,1,0,0,0,0,0,2
image_02011.jpg,0,0,0,0,1,0,0,0,4
image_03370.jpg,0,0,1,0,0,0,0,0,2
image_04851.jpg,1,0,0,0,0,0,0,0,0
image_02581.jpg,0,0,0,1,0,0,0,0,3
image_02547.jpg,0,0,0,1,0,0,0,0,3
image_03975.jpg,0,1,0,0,0,0,0,0,1
image_00328.jpg,0,0,0,0,0,0,0,1,7
image_05104.jpg,1,0,0,0,0,0,0,0,0
image_03282.jpg,0,0,0,1,0,0,0,0,3
image_02995.jpg,0,0,0,1,0,0,0,0,3
image_02860.jpg,0,0,0,1,0,0,0,0,3
image_01727.jpg,0,0,0,0,0,1,0,0,5
image_02514.jpg,0,0,0,1,0,0,0,0,3
image_04494.jpg,0,1,0,0,0,0,0,0,1
image_02356.jpg,0,0,0,0,1,0,0,0,4
image_03909.jpg,0,1,0,0,0,0,0,0,1
image_03702.jpg,0,0,1,0,0,0,0,0,2
image_03622.jpg,0,0,1,0,0,0,0,0,2
image_03667.jpg,0,0,1,0,0,0,0,0,2
image_04774.jpg,1,0,0,0,0,0,0,0,0
image_04977.jpg,1,0,0,0,0,0,0,0,0
image_04776.jpg,1,0,0,0,0,0,0,0,0
image_03730.jpg,0,0,1,0,0,0,0,0,2
image_01296.jpg,0,0,0,0,0,0,1,0,6
image_03929.jpg,0,1,0,0,0,0,0,0,1
image_04315.jpg,0,1,0,0,0,0,0,0,1
image_03952.jpg,0,1,0,0,0,0,0,0,1
image_04234.jpg,0,1,0,0,0,0,0,0,1
image_04414.jpg,0,1,0,0,0,0,0,0,1
image_02441.jpg,0,0,0,1,0,0,0,0,3
image_03385.jpg,0,0,1,0,0,0,0,0,2
image_01866.jpg,0,0,0,0,1,0,0,0,4
image_00386.jpg,0,0,0,0,0,0,0,1,7
